ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
8|1|17100|127|157822|174922|31402|61613|25081|12542|4996|2820|9516||7225|1820|419|261
15|23|8365|59|179619|187984|40511|67745|31793|4066|6787|2166|6243|13754|3191|2967|198|139
30|7|5147|40|151148|156295|51748|51946|16536|3692|2232|1356|7306|10485|4198|1234|275|100
28|7|9367|118|176435|185802|63206|52060|35006|6450|3633|2215|6067||5665|1474|390|151
27|4|4960|63|173483|178443|7859|42030|74052|2918|4241|4492|2981|8706|19536|5261|1126|218
21|13|4346|63|124125|128471|40878|34526|15189|2638|5580|2155|5155|9553|5812|1943|341|292
21|14|5239|52|121080|126319|18380|37566|21502|2616|5410|2133|9619|11773|8390|2901|408|330
9|20|6103|187|177681|183784|31306|30044|55706|6047|10868|5476|6719|8499|17447|4121|640|621
21|9|5817|112|168282|174099|59838|24782|27382|3916|7180|4113|13351|10941|13221|2437|549|460
9|22|4792|142|148624|153416|12742|20087|55970|5448|8353|4451|4817|7535|22053|5555|860|611
25|8|11589|155|120004|131593|43898|40897|11786|5744|2967|1879|7295||3992|990|237|164
32|2|5587|40|150832|156419|39309|57770|20384|6443|3298|1125|5930|12111|2669|1461|194|98
9|19|4663|110|150450|155113|14739|20283|58382|4774|7642|4430|4858|7271|21677|4876|827|581
30|11|4411|82|175509|179920|22405|63042|50926|3262|2541|2099|2269|13166|12030|2915|643|129
30|8|6149|103|192309|198458|67262|55316|33161|4644|4123|3454|4269|9739|7512|2050|480|196
14|6|9279|230|195137|204416|73646|58100|11301|5974|2582|20722|5143|12501|3639|430|499|370
19|9|7196|44|175735|182931|46371|76700|6017|2718|10917|982|20937|9070|1076|708|63|132
25|6|11013|82|124328|135341|40410|57257|10329|3016|1487|921|8474||1633|569|102|48
8|4|10757|67|90075|100832|20684|31856|13261|6877|3820|1645|5984||4235|1250|227|169
14|19|6213|57|168999|175212|46963|58654|20522|5127|2980|13752|8622|8222|2429|669|444|558
14|8|7303|162|166771|174074|57691|51422|10523|4703|2564|20582|4155|10737|3077|318|433|404
28|3|12630|111|209086|221716|78708|75778|27494|5840|5171|2330|7480||4351|1346|314|163
9|14|5606|158|164008|169614|21860|23518|59730|5738|8335|4443|5206|8277|20598|4778|863|504
25|1|10348|38|124187|134535|51234|53849|8997|2141|954|589|4649||1105|480|114|37
30|10|7366|206|173944|181310|45813|31995|50912|3939|5169|4229|8543|7676|11710|2767|686|299
24|6|9094|454|152376|161470|57760|35170|19928|8667|3435|3553|8837|8781|4346|991|291|163
14|18|6570|66|175911|182481|63206|56374|13699|3858|1751|15816|11219|6790|1948|435|388|361
24|7|21089|300|155852|176941|51610|52484|19835|6735|5741|6820|7660||2438|1178|768|283
5|4|12456|84|142803|155259|48361|61539|12537|5660|2891|1382|6658||2611|786|164|130
23|1|7191|186|235856|243047|44606|69426|57310|10324|5085|3497|7740|18180|14042|4335|859|266
10|4|11033|97|169106|180139|42041|63168|11356|3854|33378|1496|4574||6049|2375|115|603
30|18|7151|89|164713|171864|44762|55199|36363|5285|2480|2306|2743|8441|4560|1987|392|106
20|6|10256|95|116944|127200|14456|29328|39768|5053|6736|9492|2919||5724|2612|550|211
15|29|3405|104|132355|135760|13981|38968|40445|3586|3368|5079|3989|10522|9440|1975|706|192
12|5|11046|39|156185|167231|15558|48084|57044|2370|14682|9319|2255||3114|2908|536|276
2|3|3684|73|143431|147115|33779|47195|26955|4438|5547|2306|4961|9539|5858|2197|389|194
13|4|10665|67|135578|146243|42437|51783|19115|7232|2436|1135|6657||3152|1235|226|103
9|15|9263|247|233025|242288|86764|40130|56105|6147|10366|5436|5364|8216|10893|2356|562|439
20|7|11436|40|140488|151924|19921|59087|41059|2607|6384|3152|1395||4374|2095|281|93
15|39|4952|143|165257|170209|14626|51404|48176|5431|3769|6348|6800|15045|10017|2468|777|253
19|4|4304|93|159380|163684|87279|33723|12127|4378|5323|1398|7139|4616|2317|778|105|104
9|11|5236|193|155206|160442|24885|25967|55482|4838|6764|4339|4973|7954|15336|3352|703|420
32|3|6249|159|156839|163088|29181|62307|19986|7599|6887|2102|7400|15294|3692|1859|252|121
9|2|6224|193|173452|179676|45890|30121|49579|5498|7671|4283|5077|8004|13246|2900|611|379
15|13|3917|123|143128|147045|19640|43680|36811|4166|3552|2583|5085|13934|10518|2265|510|261
15|7|5640|195|196925|202565|54037|51186|41445|4949|6781|3617|7518|13971|10080|2418|423|305
15|4|5339|110|193192|198531|41881|55775|40812|5493|4237|6780|7552|16344|10559|2692|690|267
2|8|3879|141|178538|182417|49460|48813|32812|7373|4799|4650|7514|11905|7980|2165|655|271
