ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
9|23|6865|181|187852|194717|37847|24439|69918|4999|9589|5584|4682|6171|18602|4392|818|630
14|9|6182|107|155984|162166|40672|52305|9450|6092|3274|21799|4844|11954|3901|494|522|570
2|1|13292|66|126228|139520|47036|42916|14908|5339|1864|2136|6557||3921|929|391|165
18|2|12060|65|155721|167781|44228|54357|21011|4132|4556|3099|14700||7391|1473|414|295
12|4|14338|80|134841|149179|12928|36265|42728|4997|3311|12424|4023||13718|2245|1714|408
15|19|4666|115|156315|160981|35349|42244|37846|4831|4308|2586|4846|12656|8731|2089|461|253
14|8|7447|144|166787|174234|56971|51293|10584|4736|2680|21150|4117|10701|3214|328|439|430
24|6|15637|362|145716|161353|61514|31468|20606|10329|3733|3609|8246||4333|1037|312|167
11|9|15157|124|153237|168394|69681|59847|8670|5665|1690|1572|3983||1396|434|111|64
30|16|6549|127|180912|187461|74294|46883|27778|3763|2929|3232|3959|9100|6607|1594|459|187
6|2|4076|49|128990|133066|48961|52331|9425|4179|2621|1156|1616|6206|1604|641|137|64
12|6|13025|140|154504|167529|13306|58401|48384|6167|8119|10027|2902||3840|2129|877|212
7|2|9165|80|150670|159835|14389|53994|31820|27330|5302|800|10059|2736|1919|2096|88|57
25|2|11527|53|160230|171757|61159|43848|16592|5044|1996|1546|25010||3548|1019|302|113
16|1|10332|99|114986|125318|17688|42313|35256|4252|2487|1344|2783||5849|2378|417|120
30|3|4505|72|144464|148969|50900|51787|16642|4595|2105|1250|3133|9201|3438|989|232|120
24|3|16997|100|135316|152313|51376|55908|7880|4765|6469|2073|4129||1609|694|146|167
27|4|4856|77|174207|179063|7345|46226|72045|2976|4187|4307|2114|9175|19285|5160|1095|215
9|5|6377|180|163022|169399|46760|26008|47865|4827|8215|4164|4056|5531|11793|2660|538|425
32|2|5726|82|152038|157764|37684|57998|21797|6730|4442|1228|5201|12088|2889|1560|215|124
21|15|5506|107|140349|145855|39958|36496|19392|4538|7255|2600|6760|12286|7870|2435|343|309
21|14|5300|47|121498|126798|20983|38434|21813|3388|5777|2252|4599|12124|8391|2959|434|297
9|20|6162|132|177948|184110|32650|29048|55824|6274|10864|5287|6340|8435|17521|4168|697|708
1|3|11557|178|145382|156939|62656|43277|12223|6092|2481|2192|12833||2564|600|174|112
15|4|5478|90|193902|199380|41792|54714|42207|5990|4520|6839|7230|16131|10726|2675|720|268
2|6|13969|73|144294|158263|47371|40444|27036|6629|3959|4171|5418||6743|1694|507|249
5|1|11033|64|142291|153324|56175|56985|11858|5570|2585|1554|4198||2276|689|185|152
29|2|13008|87|167686|180694|43929|42125|38184|6792|8789|4518|8753||10696|2873|576|364
8|8|15365|124|160222|175587|55958|60506|13639|9782|3962|1716|10155||3013|950|258|159
11|12|15973|112|151008|166981|69990|47749|12626|8027|2362|2131|5486||1898|395|152|80
9|25|5619|167|162497|168116|22452|22537|58808|6494|9104|4779|5373|7374|19308|4679|775|647
23|1|7149|153|236523|243672|45876|68659|58597|10941|5216|3429|5830|18105|14185|4320|914|298
11|0|213418|1352|2087535|2300953|955749|681429|159768|133127|29226|27177|73821||17358|6070|1550|908
7|0|130276|1127|1889707|2019983|294502|482026|313387|457724|59040|22844|83684|94164|50335|26533|2867|1474
6|0|10178|171|289631|299809|103875|117179|22802|8886|8792|2981|5008|14018|3962|1457|278|222
9|0|167755|4738|4655650|4823405|924732|758910|1512580|159429|217417|124002|144322|224607|449788|102150|20057|12918
30|5|4798|86|147728|152526|50884|48596|21437|3513|2448|1597|4419|8717|4306|1307|280|138
20|11|10165|47|143335|153500|20892|47619|52112|3433|5012|3590|1793||5666|2615|409|147
15|25|3889|61|141004|144893|16364|44083|36622|5103|3401|3051|4821|14457|9917|2343|606|175
15|11|4465|165|156147|160612|25949|46637|38972|5611|3976|3240|5487|13585|9512|2168|601|244
19|6|8340|121|139708|148048|65356|45223|10845|3041|5002|1548|5521||2105|696|132|118
